==============================================================================
==============================================================================
Thu. Oct. 6 2016                  LANDSAT 5                       Time: 06:39
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501610054501_02344                          Path / Row - 123 / 39
Reference Image: L51BKT1011255020100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 95.7%
Rank   2 --  4.3%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
1230391388   30.76157    113.82518    -0.11     -0.17     0.20     1 
1230391389   30.76085    113.85774     0.00     -0.21     0.21     1 
1230391392   30.75866    113.95541     0.09     -0.12     0.14     1 
1230391400   30.75246    114.21582     0.07     -0.34     0.35     1 
1230391401   30.75165    114.24837    -0.31     -0.52     0.60     2 
1230391438   30.75187    113.01031    -0.12     -0.21     0.24     1 
1230391466   30.73453    113.92211     0.02     -0.27     0.28     1 
1230391471   30.73076    114.08484     0.03     -0.37     0.38     1 
1230391473   30.72920    114.14992    -0.02     -0.07     0.07     1 
1230391537   30.71252    113.79118     0.01     -0.07     0.07     1 
1230391539   30.71111    113.85627     0.13      0.07     0.15     1 
1230391541   30.70966    113.92135    -0.30     -0.06     0.30     1 
1230391543   30.70818    113.98643    -0.19      0.05     0.20     1 
1230391544   30.70742    114.01897     0.15      0.03     0.16     1 
1230391550   30.70273    114.21417     0.15     -0.30     0.34     1 
1230391551   30.70192    114.24670    -0.21     -0.31     0.37     1 
1230391585   30.70357    112.91159    -0.20     -0.20     0.28     1 
1230391586   30.70308    112.94415     0.04     -0.12     0.13     1 
1230391588   30.70209    113.00927    -0.30     -0.12     0.32     1 
1230391589   30.70158    113.04183    -0.04     -0.56     0.56     2 
1230391618   30.68330    113.98567    -0.04     -0.10     0.11     1 
1230391619   30.68255    114.01820    -0.07     -0.06     0.09     1 
1230391622   30.68025    114.11578    -0.05     -0.02     0.06     1 
1230391660   30.67867    112.91110    -0.15     -0.28     0.31     1 
1230391661   30.67819    112.94365    -0.11     -0.10     0.15     1 
1230391662   30.67770    112.97620    -0.04     -0.22     0.22     1 
1230391663   30.67720    113.00876    -0.05     -0.27     0.28     1 
1230391684   30.66483    113.69216    -0.02     -0.08     0.08     1 
1230391688   30.66207    113.82228    -0.11      0.05     0.12     1 
1230391698   30.65459    114.14750     0.17     -0.04     0.17     1 
1230391699   30.65380    114.18001     0.09     -0.27     0.28     1 
1230391736   30.65330    112.94315    -0.20      0.01     0.20     1 
1230391737   30.65281    112.97570    -0.09      0.04     0.10     1 
1230391738   30.65231    113.00824    -0.01     -0.21     0.21     1 
1230391739   30.65180    113.04078    -0.44     -0.01     0.44     1 
1230391742   30.65023    113.13841    -0.19     -0.16     0.24     1 
1230391743   30.64969    113.17095    -0.12     -0.10     0.16     1 
1230391759   30.63995    113.69147    -0.51     -0.36     0.62     2 
1230391761   30.63859    113.75651    -0.09     -0.12     0.15     1 
1230391763   30.63719    113.82155     0.07     -0.20     0.21     1 
1230391764   30.63648    113.85407     0.19      0.07     0.20     1 
1230391768   30.63356    113.98414    -0.06     -0.10     0.12     1 
1230391810   30.62889    112.91012    -0.40     -0.36     0.54     2 
1230391811   30.62841    112.94265    -0.24     -0.03     0.24     1 
1230391834   30.61508    113.69078    -0.05     -0.12     0.13     1 
1230391835   30.61440    113.72329    -0.18      0.03     0.18     1 
1230391838   30.61232    113.82083     0.10      0.21     0.23     1 
1230391839   30.61161    113.85334    -0.03      0.01     0.03     1 
1230391840   30.61089    113.88585     0.35     -0.03     0.35     1 
1230391843   30.60869    113.98337    -0.07     -0.10     0.12     1 
1230391844   30.60794    114.01588     0.36     -0.10     0.37     1 
1230391845   30.60718    114.04838     0.14     -0.43     0.45     1 
1230391849   30.60407    114.17838     0.10     -0.14     0.17     1 
1230391885   30.60400    112.90963    -0.22     -0.06     0.23     1 
1230391886   30.60352    112.94216    -0.28     -0.16     0.32     1 
1230391887   30.60303    112.97468    -0.19     -0.29     0.35     1 
1230391888   30.60253    113.00721    -0.44     -0.20     0.48     1 
1230391890   30.60151    113.07227    -0.15     -0.07     0.16     1 
1230391913   30.58744    113.82011     0.27     -0.34     0.44     1 
1230391914   30.58673    113.85261    -0.11     -0.07     0.13     1 
1230391915   30.58602    113.88511    -0.22     -0.02     0.22     1 
1230391917   30.58456    113.95011     0.03      0.12     0.12     1 
1230391920   30.58231    114.04760    -0.18     -0.15     0.24     1 
1230391925   30.57840    114.21006     0.37      0.03     0.37     1 
1230391930   30.57429    114.37248    -0.06     -0.09     0.11     1 
1230391931   30.57344    114.40497    -0.06     -0.11     0.13     1 
1230391934   30.57086    114.50240    -0.20     -0.53     0.57     2 
1230391960   30.57911    112.90914    -0.13      0.33     0.36     1 
1230391961   30.57863    112.94166    -0.32     -0.13     0.35     1 
1230391988   30.56257    113.81939    -0.44      0.10     0.45     1 
1230391991   30.56042    113.91687     0.04      0.03     0.05     1 
1230391992   30.55969    113.94936     0.22     -0.32     0.39     1 
1230391993   30.55895    113.98185     0.19      0.10     0.21     1 
1230391995   30.55744    114.04682     0.06     -0.01     0.06     1 
1230391999   30.55433    114.17676    -0.03     -0.60     0.60     2 
1230392034   30.55469    112.87614    -0.37      0.03     0.37     1 
1230392036   30.55373    112.94116    -0.18      0.18     0.25     1 
1230392038   30.55275    113.00619    -0.14     -0.26     0.29     1 
1230392066   30.53554    113.91613    -0.04     -0.13     0.14     1 
1230392067   30.53481    113.94861    -0.10     -0.10     0.14     1 
1230392069   30.53333    114.01357    -0.18     -0.14     0.23     1 
1230392070   30.53257    114.04605    -0.14     -0.07     0.16     1 
1230392071   30.53180    114.07852     0.14     -0.06     0.15     1 
1230392072   30.53103    114.11100     0.15     -0.21     0.25     1 
1230392074   30.52946    114.17595    -0.17     -0.10     0.20     1 
1230392110   30.52932    112.90816    -0.07     -0.03     0.07     1 
